Name,Translation
दना,dana
डैनियल,daianiy
आश्नु,ashnu
कुंती,kunti
महावीर,mahveer
रुचेंद्र,ruchender
शब्बेनौर,shabbenor
डिम्पल,dimpal
सुदर्शन,sudarshan
प्रियंका,priyanka
तिकाराम,tikaram
सुमेर,sumer
ताकी,taki
द्या,daya
मार्जीना,marjina
सानिया,saaniya
नमिता,namita
शिवजी,shivaji
चारनजीत,charanjeet
रसूल,rasul
रिजू,riju
रोहिल,rohil
आस्मा,asma
गोल्डी,goldi
भारती,bharti
प्रियक,priyak
धर्मेन्द्र,dharmendr
तनमई,tanmai
मुद्रिका,mudrika
बेरागी,beragi
ओमपाल,ompal
जमीला,jameela
सत्यप्रकाश,satyakash
शबरा,shabra
नेंशी,nenshi
राजवीर,rajvir
सुखीया,sukhiya
रुनिया,ruania
धर्मवीर,dharamvir
आनमिका,aanmika
नेंसी,nensi
नरेंद्र,narendr
छोटूराम,choturam
शिब,shib
अंशु,anshu
चांदा,chanada
नादिर,nadir
आहिम,aahim
आमिल,aamil
पियारी,piyari
धर्मेंद्र,dharmendr
दिब्या,dibya
गणेशी,ganesi
हीरा,heera
हुसैन,hussain
अन्नु,annu
मन्नो,manno
हर्षदीप,harshdeep
नाजदा,najada
भोजपाल,bhojapal
जैनी,jaini
सोमदेवी,somedevi
हर्षित,harshit
सारूफ,saroof
निदा,nida
एस्राइल,esrail
बिसान,bisan
इकलाख,iklakh
मंगोल,mangol
साहेनाज,sahenaj
करमवीर,karmveer
हर्ष,harsh
महेंद्र,mhendr
अनुजा,anuja
जियोटी,jiyoty
माजरुला,majarul
भुलाई,bhulai
सहर,sahar
नन्द,nand
मौसम,mousam
सुखदेवी,sukhdevi
झिंगी,jhingi
शेर,sher
सरीदेवी,saridevi
पवित्रा,pabitra
आसरुद्दीन,asruddin
सयारी,sayari
मुशीर,mushir
भविसय,bhavisay
नवीना,navina
शैलेंद्र,shailender
वंदना,vandana
आस्था,aastha
कौशल,kaushal
ओम्परकाश,omparkash
बबीता,babeeta
कार्तिक,kartik
मीर,meer
रुद्मल,rudmal
नाजिम,najim
वत्सल,vatsal
हिमांसु,himansu
सेल्वा,selva
लेमन,lemen
श्री,shree
गुलुराम,guluram
जूही,joohi
खंचन,khanchan
मेहरुनिशा,mehrunisha
नामे,name
अर्हियंत,arhiyant
मनश,mansh
रविकांत,ravikant
सुनकी,sunki
दरा,dara
रामदीन,ramdin
कासिश,kasish
साक्षाम,saksham
आरती,arati
बुपाल,bulal
धुरुव,dhuruv
सूफिया,sufia
तनवीर,tanvir
दुनी,duni
दुर्गेश,durgesh
आनारा,anaara
जहानी,jahani
जीतू,jeetu
तपस,tapas
उर्वशी,urvashi
इरा,ira
रूपेन,rupen
द्वंदवा,dvdava
पर्मिता,parmita
कलुआ,kalu
हीरालाल,heeralal
शन्नो,shanno
इस्लामुदीन,islamudin
लीलादेवी,liladevi
डाक्स,daks
रीमाशा,rimasha
मामीनी,mami
धर्मवेश,dharamvesh
सुर्गायन,surgayan
उंकर,uankar
आबिदा,aabida
मनवी,manvi
देवीदीन,devideen
फूला,fula
नवीदा,navida
लाश्मा,lashma
जूली,julee
लम्भू,lambhu
रविंदर,ravinder
फूली,fuli
छानोयार,chhanoyar
आसु,asu
किशन,kishan
सिकेंदर,sikeder
निताशा,nishsha
प्रसन्त,prsant
दिनकर,dinkar
अयूब,ayub
डीपका,dipaka
वीपल,veepal
सलमान,salmaan
जब्बार,jabbar
सावित्री,savitri
धर्मबीर,dharambir
कुशुमावती,kushumavati
आफरीन,afrin
समीमा,samima
जनेश,janesh
दौलत,doulat
रामली,ramali
सुरेश,suresh
मन्वेंद्र,manvender
धना,dhana
उमेश,umesh
मोहसीन,mhseen
दूधनाथ,dudhnath
अक्रम,amram
पनाज,panaj
चंद्रिका,chandrika
बागा,baga
विपुल,vipul
अखिल,akhil
मामोइता,mamota
चेतना,chetna
गुरुजीत,gurjeet
सरबारी,sarbari
मंदोथी,manothi
शिमरान,shimran
पल्लु,pallau
आदित्य,aditya
यक्ष,yaksh
स्मृति,smriti
नरबहादुर,narbadur
विकास,vikas
नर्मदा,narmada
हसीना,haseena
खुश,khush
सारिका,sarika
अंकुश,ankush
अंगद,angd
शेख,shekh
धीरेन्द्र,dhirender
मामता,mamta
सलीम,saleem
दीन,din
श्रीकांत,srikant
आलपना,alpana
केएम0,kem
विद्या,vidya
नौशाद,naushad
भार्कह,bharkh
रूही,roohi
चिंकू,chinkoo
अरसलान,arsalan
सरोजनी,sarojani
गुफरान,gufran
सुस्री,susri
ताज,taj
प्रभात्यशी,prabhatyshi
दीक्षा,deeksha
सहरान,sahran
सुचित्रा,suchitra
आरधना,aradhana
यिनिता,sininita
वैशान्वी,vaishanvi
रजना,rajana
यादुवंशी,yaduvan
परधुमन,pardhuman
रोसीना,rosina
हबीब,habeeb
बिमला,bimla
सुजीत,sujit
जनकिदास,jaanidass
अमीन,amin
रामकिशन,ramkishan
दिनीश,dishish
नरहरि,narhari
मीनत,meenat
आइशा,aisha
दीपनारायण,deepnarayan
जेनाब,jenab
रागनी,ragani
उड़ी,udi
बीराजभूषण,birajbhushan
यादव,yadav
सिना,sina
अवस्था,avstha
विधि,vidhi
सिमरन,simaran
सुकन्या,sukanya
आयेशा,ayesh
सैएमन,saiman
आशीष,ashish
सन्नी,sanni
तबस्सुम,tabssum
शाजिद,shajid
शींसर,sheensar
शिमला,shimla
नरेंदर,narendar
खसभू,khasabhu
शाहिबा,shahiba
अंशुमान,anshuman
सुरेखा,surekha
अरु,aru
अम्लेश,amlesh
शमीम,shamim
इंद्रनाथ,indrnath
नार,nar
सोहेल,sohel
शैलजा,shailja
